Name,B,L,H(m),N(m),E(m),Z(m)
0101,036:00:08.80635N,120:06:41.00423E,52.8561,3990294.6761,780568.6935,52.8561
0102,036:00:09.41865N,120:06:55.22899E,45.5447,3990324.9529,780924.5079,45.5447
0103,036:00:18.10991N,120:06:53.62711E,40.1689,3990591.6736,780875.7977,40.1689
0104,036:00:17.73275N,120:06:41.61916E,44.7458,3990570.4239,780575.3054,44.7458
0105,036:00:22.49430N,120:06:41.15836E,43.3241,3990716.8825,780559.0679,43.3241
0106,036:00:23.99116N,120:06:51.45842E,40.1607,3990771.2908,780815.6595,40.1607
0107,036:00:25.75351N,120:07:04.22748E,36.2145,3990835.8736,781133.8467,36.2145
0108,036:00:22.23934N,120:07:05.02996E,37.1189,3990728.1539,781157.4229,37.1189
0109,036:00:28.09687N,120:07:17.17597E,35.2088,3990918.5289,781455.9511,35.2088
0110,036:00:23.63260N,120:07:18.24624E,35.6085,3990781.7275,781487.1802,35.6085
0111,036:00:17.34789N,120:07:19.53129E,36.3273,3990588.9632,781525.5912,36.3273
0112,036:00:15.56226N,120:07:07.15001E,38.7583,3990523.9595,781217.1356,38.7583
0113,036:00:11.52210N,120:07:19.50852E,37.1084,3990409.2995,781530.7809,37.1084
0114,036:00:05.76033N,120:07:08.77734E,40.9096,3990223.0116,781267.5913,40.9096
0115,035:59:59.59768N,120:07:12.72839E,38.5030,3990036.1507,781372.6799,38.5030
0116,036:00:00.77188N,120:07:21.93485E,35.6583,3990079.7530,781602.2057,35.6583
0117,036:00:04.02757N,120:07:30.49200E,33.7799,3990187.0248,781813.4005,33.7799
0118,036:00:13.44669N,120:07:28.15388E,35.1789,3990475.5947,781745.4950,35.1789
0119,035:59:55.97571N,120:07:03.24477E,39.7017,3989916.8521,781138.6238,39.7017
0120,036:00:03.21456N,120:06:56.58703E,45.6222,3990134.7313,780964.6564,45.6222
0121,036:00:02.28004N,120:06:50.86283E,53.0470,3990101.3262,780822.1484,53.0470
0122,035:59:53.93851N,120:06:55.14382E,42.7697,3989847.5368,780937.6450,42.7697
0123,036:00:16.62104N,120:07:49.15926E,32.3755,3990590.3841,782268.6568,32.3755
0124,036:00:20.18591N,120:07:48.09275E,32.1042,3990699.4525,782238.4009,32.1042
0125,036:00:20.28422N,120:07:27.96238E,34.3858,3990686.2844,781733.9311,34.3858
